month,year,day of month,early release,meal
May,2025,1,,"Cheese Pizza, Pepperoni Pizza"
May,2025,2,,"Beef, Bean and Cheese Burrito, Bean and Cheese Burrito"
May,2025,5,,"Chicken Tamale or Green Chile and Cheese Tamale"
May,2025,6,,Mozzarella Breadsticks
May,2025,7,,"Pancakes with Chicken Sausage and Berry Compote"
May,2025,8,,"Cheese Pizza, Pepperoni Pizza"
May,2025,9,,Chicken Fillet Sandwich
May,2025,12,,"Orange Chicken with Brown Rice"
May,2025,13,,Bean and Cheese Nachos
May,2025,14,,Turkey Hot Dog
May,2025,15,,"Cheese Pizza, Pepperoni Pizza"
May,2025,16,,BBQ Pork
May,2025,19,,"Pasta with Marinara and Meatballs or Mozzarella"
May,2025,20,,Chicken Tenders
May,2025,21,true,"Turkey Ham Sandwich, Cheese Sandwich"
May,2025,22,,"Cheese Pizza, Pepperoni Pizza"
May,2025,23,,"Hamburger, Cheeseburger"
May,2025,27,,Mozzarella Breadsticks
May,2025,28,,"Teriyaki Chicken with Brown Rice"
May,2025,29,,"Cheese Pizza, Pepperoni Pizza"
May,2025,30,,"Beef, Bean and Cheese Burrito, Bean and Cheese Burrito"
