month,year,day of month,early release,meal
December,2024,2,,"Fruit and Chex Mix"
December,2024,3,,"PBJ"
December,2024,4,,"Crackers and Chicken Jerky"
December,2024,5,,"Yogurt and Granola"
December,2024,6,,"Dried Fruit and Crackers"
December,2024,9,,"Crackers and Cheese"
December,2024,10,,"PBJ"
December,2024,11,,"Crackers and Chicken Jerky"
December,2024,12,,"Fruit and Cheese"
December,2024,13,,"Sunflower Seeds and Crackers"
December,2024,16,,"Fruit and Chex Mix"
December,2024,17,,"PBJ"
December,2024,18,true,"Crackers and Chicken Jerky"
December,2024,19,,"Yogurt and Granola"
December,2024,20,,"Sunflower Seeds and Crackers"
