month,year,day of month,early release,meal
January,2025,6,,"Crackers and Cheese"
January,2025,7,,"Yogurt and Granola"
January,2025,8,,"Crackers and Chicken Jerky"
January,2025,9,,"Fruit and Cheese"
January,2025,10,,"Sunflower Seeds and Crackers"
January,2025,13,,"Fruit and Chex Mix"
January,2025,14,,"Sunflower Seeds and Crackers"
January,2025,15,,"Crackers and Chicken Jerky"
January,2025,16,,"Yogurt and Granola"
January,2025,17,,"Vegetables and Crackers"
January,2025,21,,"Yogurt and Granola"
January,2025,22,,"Crackers and Chicken Jerky"
January,2025,23,,"Fruit and Cheese"
January,2025,24,,"Sunflower Seeds and Crackers"
January,2025,29,,"Crackers and Chicken Jerky"
January,2025,30,,"Yogurt and Granola"
January,2025,31,,"Sunflower Seeds and Crackers"
