month,year,day,early_release,meal
April,2025,1,,Yogurt and Granola
April,2025,2,,Crackers and Chicken Jerky
April,2025,3,,Fruit and Cheese
April,2025,8,,Crackers and Cheese
April,2025,9,,Crackers and Chicken Jerky
April,2025,10,,Yogurt and Granola
April,2025,11,,Vegetables and Crackers
April,2025,14,,Crackers and Cheese
April,2025,15,,Yogurt and Granola
April,2025,16,,Crackers and Chicken Jerky
April,2025,17,,Fruit and Cheese
April,2025,18,,Sunflower Seeds and Crackers
April,2025,21,,Fruit and Crackers
April,2025,22,,Crackers and Cheese
April,2025,23,true,Crackers and Chicken Jerky
April,2025,24,,Yogurt and Granola
April,2025,25,,Vegetables and Crackers
April,2025,28,,Crackers and Cheese
April,2025,29,,Yogurt and Granola
April,2025,30,,Crackers and Chicken Jerky
