month,year,day of month,early release,meal
December,2025,1,,Cheese and Chex Mix
December,2025,2,,Fruit and Crackers
December,2025,3,,Crackers and Chicken Jerky
December,2025,4,,Yogurt and Granola
December,2025,5,,Sunflower Seeds and Crackers
December,2025,8,,Cheese and Crackers
December,2025,9,,Yogurt and Granola
December,2025,10,true,Crackers and Chicken Jerky
December,2025,11,,Dried Fruit and Crackers
December,2025,12,,Cheese and Vegetables
December,2025,15,,Cheese and Chex Mix
December,2025,16,,Fruit and Crackers
December,2025,17,,Crackers and Chicken Jerky
December,2025,18,,Yogurt and Granola
December,2025,19,,Sunflower Seeds and Crackers
