month,year,day,early release,meal
February,2025,3,,"Crackers and Cheese"
February,2025,4,,"Yogurt and Granola"
February,2025,5,,"Crackers and Chicken Jerky"
February,2025,6,,"Fruit and Cheese"
February,2025,7,,"Sunflower Seeds and Crackers"
February,2025,10,,"Fruit and Chex Mix"
February,2025,11,,"Sunflower Seeds and Crackers"
February,2025,12,,"Crackers and Chicken Jerky"
February,2025,13,,"Yogurt and Granola"
February,2025,14,,"Vegetables and Crackers"
February,2025,18,,"Yogurt and Granola"
February,2025,19,,"Crackers and Chicken Jerky"
February,2025,20,,"Fruit and Cheese"
February,2025,21,,"Sunflower Seeds and Crackers"
February,2025,24,,"Fruit and Chex Mix"
February,2025,25,,"Sunflower Seeds and Crackers"
February,2025,26,true,"Crackers and Chicken Jerky"
February,2025,27,,"Yogurt and Granola"
February,2025,28,,"Vegetables and Crackers"
