month,year,day of month,early release,meal
February,2026,2,,Cheese and Crackers
February,2026,3,,Yogurt and Granola
February,2026,4,,Crackers and Chicken Jerky
February,2026,5,,Dried Fruit and Crackers
February,2026,6,,Cheese and Vegetables
February,2026,9,,Cheese and Crackers
February,2026,10,,Fruit and Crackers
February,2026,11,true,Crackers and Chicken Jerky
February,2026,12,,Yogurt and Granola
February,2026,13,,"Sunflower Seeds and Crackers"
February,2026,17,,Yogurt and Granola
February,2026,18,,Crackers and Chicken Jerky
February,2026,19,,Dried Fruit and Crackers
February,2026,20,,Cheese and Vegetables
February,2026,23,,Cheese and Crackers
February,2026,24,,Fruit and Crackers
February,2026,25,,Crackers and Chicken Jerky
February,2026,26,,Yogurt and Granola
February,2026,27,,"Sunflower Seeds and Crackers"
