month,year,day of month,early release,meal
January,2026,5,,Cheese and Crackers
January,2026,6,,Yogurt and Granola
January,2026,7,,Crackers and Chicken Jerky
January,2026,8,,Dried Fruit and Crackers
January,2026,9,,Cheese and Vegetables
January,2026,12,,Cheese and Crackers
January,2026,13,,Fruit and Crackers
January,2026,14,true,Crackers and Chicken Jerky
January,2026,15,,Yogurt and Granola
January,2026,16,,"Sunflower Seeds and Crackers"
January,2026,20,,Yogurt and Granola
January,2026,21,,Crackers and Chicken Jerky
January,2026,22,,Dried Fruit and Crackers
January,2026,23,,Cheese and Vegetables
January,2026,28,,Crackers and Chicken Jerky
January,2026,29,,Yogurt and Granola
January,2026,30,,"Sunflower Seeds and Crackers"
