month,year,day,early release,meal
March,2025,4,,"Yogurt and Granola"
March,2025,5,,"Crackers and Chicken Jerky"
March,2025,6,,"Fruit and Cheese"
March,2025,7,,"Sunflower Seeds and Crackers"
March,2025,10,,"Fruit and Chex Mix"
March,2025,11,,"Sunflower Seeds and Crackers"
March,2025,12,,"Crackers and Chicken Jerky"
March,2025,13,,"Yogurt and Granola"
March,2025,14,,"Vegetables and Crackers"
March,2025,17,,"Crackers and Cheese"
March,2025,18,,"Yogurt and Granola"
March,2025,19,true,"Crackers and Chicken Jerky"
March,2025,20,,"Fruit and Cheese"
March,2025,21,,"Sunflower Seeds and Crackers"
March,2025,31,,"Fruit and Chex Mix"
