month,year,day_of_month,early_release,meal
May,2025,1,,Fruit and Cheese
May,2025,2,,Sunflower Seeds and Crackers
May,2025,5,,Fruit and Crackers
May,2025,6,,Crackers and Cheese
May,2025,7,,Crackers and Chicken Jerky
May,2025,8,,Yogurt and Granola
May,2025,9,,Vegetables and Crackers
May,2025,12,,Crackers and Cheese
May,2025,13,,Yogurt and Granola
May,2025,14,,Crackers and Chicken Jerky
May,2025,15,,Fruit and Cheese
May,2025,16,,Sunflower Seeds and Crackers
May,2025,19,,Fruit and Crackers
May,2025,20,,Crackers and Cheese
May,2025,21,true,Crackers and Chicken Jerky
May,2025,22,,Yogurt and Granola
May,2025,23,,Vegetables and Crackers
May,2025,27,,Yogurt and Granola
May,2025,28,,Crackers and Chicken Jerky
May,2025,29,,Fruit and Cheese
May,2025,30,,Sunflower Seeds and Crackers
