month,year,day_of_month,early_release,meal
November,2024,5,,PBJ
November,2024,6,,Crackers and Chicken Jerky
November,2024,7,,Fruit Cup and Cheese
November,2024,8,,Dried Fruit and Crackers
November,2024,12,,PBJ
November,2024,13,,Crackers and Chicken Jerky
November,2024,14,,Yogurt and Granola
November,2024,15,,Dried Fruit and Crackers
November,2024,18,,Crackers and Cheese
November,2024,19,,PBJ
November,2024,20,true,Crackers and Chicken Jerky
November,2024,21,,Fruit Cup and Cheese
November,2024,22,,Dried Fruit and Crackers
