month,year,day of month,early release,meal
November,2025,3,,Cheese and Crackers
November,2025,4,,Yogurt and Granola
November,2025,5,,Crackers and Chicken Jerky
November,2025,6,,Dried Fruit and Crackers
November,2025,7,,Cheese and Vegetables
November,2025,10,,Cheese and Crackers
November,2025,12,,Crackers and Chicken Jerky
November,2025,13,,Yogurt and Granola
November,2025,14,,Sunflower Seeds and Crackers
November,2025,17,,Cheese and Crackers
November,2025,18,,Yogurt and Granola
November,2025,19,,Crackers and Chicken Jerky
November,2025,20,,Dried Fruit and Crackers
November,2025,21,,Cheese and Vegetables
