month,year,day of month,early release,meal
October,2024,1,,PBJ
October,2024,2,,Yogurt and Granola
October,2024,3,,Fruit Cup and Cheese
October,2024,4,,Dried Fruit and Crackers
October,2024,7,,Yogurt and Granola
October,2024,8,,PBJ
October,2024,9,,Fruit Cup and Crackers
October,2024,10,,Fruit Cup and Chicken Jerky
October,2024,14,,Fruit and Chex Mix
October,2024,15,,PBJ
October,2024,16,,Fruit Cup and Chicken Jerky
October,2024,17,,Fruit Cup and Cheese
October,2024,18,,Dried Fruit and Crackers
October,2024,21,,Yogurt and Granola
October,2024,22,,PBJ
October,2024,23,true,Fruit Cup and Crackers
October,2024,24,,Chicken Jerky and Cheese
October,2024,25,,Chicken Jerky and Chex Mix
October,2024,28,,Fruit and Chex Mix
October,2024,29,,PBJ
October,2024,30,,Fruit Cup and Chicken Jerky
October,2024,31,,Fruit Cup and Cheese
