month,year,day of month,early release,meal
September,2025,29,,Cheese and Chex Mix
September,2025,30,,Fruit and Crackers
October,2025,1,,Chicken Jerky and Crackers
October,2025,2,,Yogurt and Granola
October,2025,3,,Sunflower Seeds and Crackers
October,2025,6,,Cheese and Crackers
October,2025,7,,Yogurt and Granola
October,2025,8,,Crackers and Chicken Jerky
October,2025,9,,Dried Fruit and Crackers
October,2025,13,,Cheese and Chex Mix
October,2025,14,,Fruit and Crackers
October,2025,15,,Crackers and Chicken Jerky
October,2025,16,,Yogurt and Granola
October,2025,17,,Sunflower Seeds and Crackers
October,2025,20,,Cheese and Crackers
October,2025,21,,Yogurt and Granola
October,2025,22,true,Crackers and Chicken Jerky
October,2025,23,,Dried Fruit and Crackers
October,2025,24,,Vegetables and Chex Mix
October,2025,27,,Cheese and Chex Mix
October,2025,28,,Fruit and Crackers
October,2025,29,,Crackers and Chicken Jerky
