month,year,day_of_month,early_release,meal
November,2024,5,,"Maple Waffles"
November,2024,6,,"Bagel Sticks with Cream Cheese"
November,2024,7,,"Lemon Bread"
November,2024,8,,"French Toast Sticks"
November,2024,12,,"Mini Pancakes"
November,2024,13,,"Blueberry Pomegranate Breakfast Bar"
November,2024,14,,"Banana Bread"
November,2024,15,,"Honey Cheerios Cereal"
November,2024,18,,"Chicken Sausage Biscuit Sandwich"
November,2024,19,,"Maple Waffles"
November,2024,20,true,"Bagel Sticks with Cream Cheese"
November,2024,21,,"Pumpkin Bread"
November,2024,22,,"French Toast Sticks"
