month,year,day,early release,meal
April,2025,1,,Blueberry Pomegranate Breakfast Bar
April,2025,2,,Bagel Sticks with Cream Cheese
April,2025,3,,Egg Cheese and Turkey Sausage Calzone
April,2025,8,,Blueberry Chex Cereal
April,2025,9,,Orange Cranberry Breakfast Bar
April,2025,10,,Cinnamon Crumble
April,2025,11,,Bagel Sticks with Cream Cheese
April,2025,14,,Chicken Sausage Biscuit Sandwich
April,2025,15,,Maple Waffles
April,2025,16,,French Toast Sticks
April,2025,17,,Sunrise Muffin
April,2025,18,,Honey Cheerios Cereal
April,2025,21,,Mini Pancakes
April,2025,22,,Chicken Sausage and Scrambled Eggs
April,2025,23,true,Chicken and Waffle Sandwich
April,2025,24,,Cinnamon Crumble
April,2025,25,,Honey Cheerios Cereal
April,2025,28,,Chicken Sausage Biscuit Sandwich
April,2025,29,,Maple Waffles
April,2025,30,,Honey Cheerios Cereal
