month,year,day,early release,meal
August,2026,26,,Honey Cheerios
August,2026,27,,Cream Cheese Filled Bagel Bites
August,2026,28,,Mini Pancakes
August,2026,31,,Liege Waffle
September,2026,1,,Cinnamon Toast Crunch
September,2026,2,,Vanilla Cream Filled Breadstick
September,2026,3,,Apple Cinnamon Muffin
September,2026,4,,French Toast Sticks
September,2026,8,,Mini Pancakes
September,2026,9,,Honey Cheerios
September,2026,10,,Cream Cheese Filled Bagel Bites
September,2026,11,,French Toast Sticks
September,2026,14,,Liege Waffle
September,2026,15,,Cinnamon Toast Crunch
September,2026,16,,Vanilla Cream Filled Breadstick
September,2026,17,,Apple Cinnamon Muffin
September,2026,18,,Cinnamon Roll
September,2026,21,,Mini Pancakes
September,2026,22,,Honey Cheerios
September,2026,23,,Croissant
September,2026,24,,Cream Cheese Filled Bagel Bites
September,2026,25,,French Toast Sticks
September,2026,28,,Liege Waffle
September,2026,29,,Cinnamon Toast Crunch
September,2026,30,,Vanilla Cream Filled Breadstick
