month,year,day of month,early release,meal
August,2024,27,,"Honey Cheerios Cereal"
August,2024,28,,"Maple Waffles"
August,2024,29,,"Cinnamon Crumble Bread"
August,2024,30,,"French Toast Sticks"
September,2024,3,,"Cinnamon Chex Cereal"
September,2024,4,,"Chicken and Waffle Sandwich"
September,2024,5,,"Banana Bread"
September,2024,6,,"Mini Pancakes"
September,2024,9,,"Chicken Sausage Biscuit Sandwich"
September,2024,10,,"Maple Waffles"
September,2024,11,,"Apple Cinnamon Oatmeal Round"
September,2024,12,,"Pumpkin Bread"
September,2024,13,,"French Toast Sticks"
September,2024,16,,"Chicken and Waffle Sandwich"
September,2024,17,,"Cinnamon Crumble Bread"
September,2024,18,,"Chicken Sausage and Scrambled Eggs"
September,2024,19,,"Blueberry Pomegranate Breakfast Bar"
September,2024,20,,"Honey Cheerios Cereal"
September,2024,23,,"Chicken Sausage Biscuit Sandwich"
September,2024,24,,"Maple Waffles"
September,2024,25,true,"Bagel Sticks with Cream Cheese"
September,2024,26,,"Breakfast Bread"
September,2024,27,,"French Toast Sticks"
