month,year,day,early release,meal
August,2025,26,,Honey Cheerios
August,2025,27,,Maple Waffles
August,2025,28,,Cinnamon Crumble
August,2025,29,,French Toast Sticks
September,2025,2,,Cinnamon Chex
September,2025,3,,Chicken and Waffle Sandwich
September,2025,4,,Sunrise Muffin
September,2025,5,,Mini Pancakes
September,2025,8,,Chicken Sausage Biscuit Sandwich
September,2025,9,,Honey Cheerios
September,2025,10,,Maple Waffles
September,2025,11,,"Bagel Bites with Cream Cheese"
September,2025,12,,French Toast Sticks
September,2025,15,,Chicken and Waffle Sandwich
September,2025,16,,Cinnamon Chex
September,2025,17,true,Vanilla Cream Filled Breadstick
September,2025,18,,Apple Pancake Bowl
September,2025,19,,Mini Pancakes
September,2025,22,,Ham and Cheese Croissant
September,2025,23,,Honey Cheerios
September,2025,24,,Maple Waffles
September,2025,25,,"Bagel Bites with Cream Cheese"
September,2025,26,,French Toast Sticks
September,2025,29,,Chicken and Waffle Sandwich
September,2025,30,,Cinnamon Chex
