month,year,day,early release,meal
December,2024,2,,Cinnamon Chex Cereal
December,2024,3,,Yogurt
December,2024,4,,French Toast Sticks
December,2024,5,,Cinnamon Crumble Bread
December,2024,6,,Egg and Cheese Filled Hashbrown
December,2024,9,,Chicken Sausage Biscuit Sandwich
December,2024,10,,Maple Waffles
December,2024,11,,Bagel Sticks with Cream Cheese
December,2024,12,,Banana Bread
December,2024,13,,Blueberry Chex Cereal
December,2024,16,,Chicken and Waffle Sandwich
December,2024,17,,Mini Pancakes
December,2024,18,true,Lemon Bread
December,2024,19,,Blueberry Pomegranate Breakfast Bar
December,2024,20,,Honey Cheerios Cereal
