month,year,day of month,early release,meal
December,2025,1,,Chicken and Waffle Sandwich
December,2025,2,,Cinnamon Chex
December,2025,3,,Vanilla Cream Filled Breadstick
December,2025,4,,Apple Cinnamon Muffin
December,2025,5,,Mini Pancakes
December,2025,8,,Ham and Cheese Croissant
December,2025,9,,Honey Cheerios
December,2025,10,true,Maple Waffles
December,2025,11,,Bagel Bites with Cream Cheese
December,2025,12,,French Toast Sticks
December,2025,15,,Chicken and Waffle Sandwich
December,2025,16,,Cinnamon Chex
December,2025,17,,Vanilla Cream Filled Breadstick
December,2025,18,,Apple Cinnamon Muffin
December,2025,19,,Cinnamon Chex
