month,year,day of month,early release,meal
February,2025,3,,"Chicken Sausage Biscuit Sandwich"
February,2025,4,,"Maple Waffles"
February,2025,5,,"Bagel Sticks with Cream Cheese"
February,2025,6,,"Cinnamon Crumble Bread"
February,2025,7,,"French Toast Sticks"
February,2025,10,,"Chicken and Waffle Sandwich"
February,2025,11,,"Chicken Sausage and Scrambled Eggs"
February,2025,12,,"Mini Pancakes"
February,2025,13,,"Lemon Bread"
February,2025,14,,"Honey Cheerios Cereal"
February,2025,18,,"Maple Waffles"
February,2025,19,,"Bagel Sticks with Cream Cheese"
February,2025,20,,"Sunrise Muffin"
February,2025,21,,"French Toast Sticks"
February,2025,24,,"Chicken and Waffle Sandwich"
February,2025,25,,"Chicken Sausage and Scrambled Eggs"
February,2025,26,true,"Mini Pancakes"
February,2025,27,,"Cinnamon Crumble"
February,2025,28,,"Honey Cheerios Cereal"
