month,year,day of month,early release,meal
February,2026,2,,Ham and Cheese Croissant
February,2026,3,,Honey Cheerios
February,2026,4,,Vanilla Cream Filled Breadstick
February,2026,5,,Bagel Bites with Cream Cheese
February,2026,6,,French Toast Sticks
February,2026,9,,Chicken and Waffle Sandwich
February,2026,10,,Blueberry Chex
February,2026,11,true,Liege Waffle
February,2026,12,,Apple Cinnamon Muffin
February,2026,13,,Mini Pancakes
February,2026,17,,Vanilla Cream Filled Breadstick
February,2026,18,,Honey Cheerios
February,2026,19,,Bagel Bites with Cream Cheese
February,2026,20,,French Toast Sticks
February,2026,23,,Chicken and Waffle Sandwich
February,2026,24,,Blueberry Chex
February,2026,25,,Maple Waffles
February,2026,26,,Apple Cinnamon Muffin
February,2026,27,,Mini Apple Pancakes
