month,year,day of month,early release,meal
January,2026,5,,Ham and Cheese Croissant
January,2026,6,,Honey Cheerios
January,2026,7,,Vanilla Cream Filled Breadstick
January,2026,8,,Bagel Bites with Cream Cheese
January,2026,9,,French Toast Sticks
January,2026,12,,Chicken and Waffle Sandwich
January,2026,13,,Blueberry Chex
January,2026,14,true,Maple Waffles
January,2026,15,,Apple Cinnamon Muffin
January,2026,16,,Mini Pancakes
January,2026,20,,Vanilla Cream Filled Breadstick
January,2026,21,,Honey Cheerios
January,2026,22,,Bagel Bites with Cream Cheese
January,2026,23,,French Toast Sticks
January,2026,28,,Maple Waffles
January,2026,29,,Blueberry Chex
January,2026,30,,Mini Pancakes
