month,year,day,early release,meal
March,2025,4,,Maple Waffles
March,2025,5,,"Bagel Sticks with Cream Cheese"
March,2025,6,,Sunrise Muffin
March,2025,7,,French Toast Sticks
March,2025,10,,Mini Pancakes
March,2025,11,,"Chicken Sausage and Scrambled Eggs"
March,2025,12,,"Chicken and Waffle Sandwich"
March,2025,13,,Cinnamon Crumble
March,2025,14,,Honey Cheerios Cereal
March,2025,17,,"Chicken Sausage Biscuit Sandwich"
March,2025,18,,Maple Waffles
March,2025,19,true,"Bagel Sticks with Cream Cheese"
March,2025,20,,Sunrise Muffin
March,2025,21,,French Toast Sticks
March,2025,31,,Cinnamon Chex Cereal
