month,year,day_of_month,early_release,meal
May,2025,1,,Sunrise Muffin
May,2025,2,,French Toast Sticks
May,2025,5,,Mini Pancakes
May,2025,6,,Chicken Sausage and Scrambled Eggs
May,2025,7,,Chicken and Waffle Sandwich
May,2025,8,,Cinnamon Crumble
May,2025,9,,Blueberry Chex Cereal
May,2025,12,,Chicken Sausage Biscuit Sandwich
May,2025,13,,Maple Waffles
May,2025,14,,Blueberry Pomegranate Breakfast Bar
May,2025,15,,Sunrise Muffin
May,2025,16,,French Toast Sticks
May,2025,19,,Mini Pancakes
May,2025,20,,Chicken Sausage and Scrambled Eggs
May,2025,21,true,Chicken and Waffle Sandwich
May,2025,22,,Cinnamon Crumble
May,2025,23,,Cinnamon Chex Cereal
May,2025,27,,Blueberry Pomegranate Breakfast Bar
May,2025,28,,Orange Cranberry Breakfast Bar
May,2025,29,,Sunrise Muffin
May,2025,30,,French Toast Sticks
