month,year,day of month,early release,meal
May,2026,4,,Chicken and Waffle Sandwich
May,2026,5,,Cinnamon Toast Crunch
May,2026,6,,Liege Waffle
May,2026,7,,Apple Cinnamon Muffin
May,2026,8,,Mini Pancakes
May,2026,11,,Ham and Cheese Croissant
May,2026,12,,Honey Cheerios
May,2026,13,,Vanilla Cream Filled Breadstick
May,2026,14,,Bagel Bites with Cream Cheese
May,2026,15,,French Toast Sticks
May,2026,18,,Chicken and Waffle Sandwich
May,2026,19,,Cinnamon Toast Crunch
May,2026,20,,Liege Waffle
May,2026,21,,Apple Cinnamon Muffin
May,2026,22,,Mini Pancakes
May,2026,26,,Ham and Cheese Croissant
May,2026,27,,Honey Cheerios
May,2026,28,,Bagel Bites with Cream Cheese
May,2026,29,,French Toast Sticks
