month,year,day of month,early release,meal
November,2025,3,,Ham and Cheese Croissant
November,2025,4,,Honey Cheerios
November,2025,5,,Maple Waffles
November,2025,6,,Bagel Bites with Cream Cheese
November,2025,7,,French Toast Sticks
November,2025,10,,Chicken and Waffle Sandwich
November,2025,12,,Vanilla Cream Filled Breadstick
November,2025,13,,Apple Cinnamon Muffin
November,2025,14,,Mini Pancakes
November,2025,17,,Ham and Cheese Croissant
November,2025,18,,Honey Cheerios
November,2025,19,,Maple Waffles
November,2025,20,,Bagel Bites with Cream Cheese
November,2025,21,,French Toast Sticks
