month,year,day of month,early release,breakfast,lunch
December,2024,2,,Cereal,"Three Bean Chili with Tortilla Chips"
December,2024,3,,Cereal,Cheeseburger
December,2024,4,,Blueberry Pomegranate Breakfast Bar,"Beef, Bean and Cheese Burrito"
December,2024,5,,Cereal,Cheese Pizza
December,2024,6,,Cinnamon Crumble Bread,Chicken Tenders
December,2024,9,,Cereal,Orange Chicken with Brown Rice
December,2024,10,,Breakfast Bread,Mozzarella Breadsticks
December,2024,11,,Cereal,Pancakes with Chicken Sausage and Berry Compote
December,2024,12,,"Bagel Sticks with Cream Cheese",Cheese Pizza
December,2024,13,,Banana Bread,Chicken Fillet Sandwich
December,2024,16,,Blueberry Chex Cereal,Cheeseburger
December,2024,17,,Breakfast Bread,Pasta with Marinara and Mozzarella
December,2024,18,true,Cereal,Turkey Ham Sandwich
December,2024,19,,Lemon Bread,Cheese Pizza
December,2024,20,,Blueberry Pomegranate Breakfast Bar,Chicken Tenders
