month,year,day of month,early release,breakfast,lunch
November,2024,5,,Cereal,"Mozzarella Breadsticks"
November,2024,6,,Breakfast Bread,"Teriyaki Chicken with Brown Rice"
November,2024,7,,"Bagel Sticks with Cream Cheese","Cheese Pizza, Pepperoni Pizza"
November,2024,12,,Cereal,"Pasta with Marinara and Mozzarella"
November,2024,13,,Breakfast Bread,"Bean and Cheese Nachos"
November,2024,14,,Cereal,"Cheese Pizza, Pepperoni Pizza"
November,2024,15,,"Blueberry Pomegranate Breakfast Bar","Chicken Tenders"
November,2024,18,,"Honey Cheerios Cereal","Teriyaki Chicken with Brown Rice"
November,2024,19,,Breakfast Bread,"Mozzarella Breadsticks"
November,2024,20,true,Cereal,"Turkey Ham Sandwich, Cheese Sandwich"
November,2024,21,,"Bagel Sticks with Cream Cheese","Cheese Pizza, Pepperoni Pizza"
November,2024,22,,Pumpkin Bread,"Roast Turkey, Mashed Potatoes and Gravy"
