month,year,day of month,early release,breakfast,lunch
April,2026,1,,Cereal,Pancakes with Chicken Sausage
April,2026,2,,Vanilla Cream Filled Breadstick,"Cheese Pizza Pepperoni Pizza"
April,2026,7,,Cereal,Mozzarella Breadsticks
April,2026,8,,Bagel Bites with Cream Cheese,"Beef, Bean and Cheese Burrito Bean and Cheese Burrito"
April,2026,9,,Cereal,"Cheese Pizza Pepperoni Pizza"
April,2026,10,,Apple Cinnamon Muffin,Chicken Fillet Sandwich
April,2026,13,,Cereal,Teriyaki Chicken or Tofu with Brown Rice
April,2026,14,,Apple Cinnamon Muffin,Chicken tenders
April,2026,15,,Cereal,Pancakes with Chicken Sausage
April,2026,16,,Vanilla Cream Filled Breadstick,"Cheese Pizza Pepperoni Pizza"
April,2026,17,,Bagel Bites with Cream Cheese,Hamburger Cheeseburger
April,2026,20,,Cereal,Chicken and Vegetables Dumplings
April,2026,21,,Vanilla Cream Filled Breadstick,Mozzarella Breadsticks
April,2026,22,,Cereal,Bean and Cheese Nachos
April,2026,23,,Bagel Bites with Cream Cheese,"Cheese Pizza Pepperoni Pizza"
April,2026,24,,Apple Cinnamon Muffin,Chicken Fillet Sandwich
April,2026,27,,Cereal,Pasta with Marinara and Meatballs or Mozzarella
April,2026,28,,Apple Cinnamon Muffin,Chicken tenders
April,2026,29,,Cereal,Pancakes with Chicken Sausage
April,2026,30,,Vanilla Cream Filled Breadstick,"Cheese Pizza Pepperoni Pizza"
