month,year,day of month,early release,breakfast,lunch
August,2025,26,,Cereal,Chicken tenders
August,2025,27,,Cereal,Mozzarella Breadsticks
August,2025,28,,Cereal,"Cheese Pizza, Pepperoni Pizza"
August,2025,29,,Apple Pancake Bowl,Chicken Fillet Sandwich
September,2025,2,,Cereal,Chicken tenders
September,2025,3,,Cereal,"Beef, Bean and Cheese Burrito, Bean and Cheese Burrito"
September,2025,4,,Apple Pancake Bowl,"Cheese Pizza, Pepperoni Pizza"
September,2025,5,,Sunrise Muffin,Cheeseburger
September,2025,8,,Cereal,Pasta with Marinara and Meatballs or Mozzarella
September,2025,9,,Sunrise Muffin,Chicken tenders
September,2025,10,,Cereal,Pancakes with Chicken Sausage
September,2025,11,,Cereal,"Cheese Pizza, Pepperoni Pizza"
September,2025,12,,Bagel Bites with Cream Cheese,Cheeseburger
September,2025,15,,Cereal,Orange Chicken with Brown Rice
September,2025,16,,Bagel Bites with Cream Cheese,Mozzarella Breadsticks
September,2025,17,true,Cereal,"Turkey and Cheese Sandwich, Cheese Sandwich"
September,2025,18,,Vanilla Cream Filled Breadstick,"Cheese Pizza, Pepperoni Pizza"
September,2025,19,,Apple Cinnamon Muffin,Chicken Fillet Sandwich
September,2025,22,,Cereal,Teriyaki Chicken or Tofu with Brown Rice
September,2025,23,,Vanilla Cream Filled Breadstick,Chicken tenders
September,2025,24,,Cereal,Pancakes with Chicken Sausage
September,2025,25,,Apple Cinnamon Muffin,"Cheese Pizza, Pepperoni Pizza"
September,2025,26,,Bagel Bites with Cream Cheese,Cheeseburger
September,2025,29,,Cereal,Chicken and Vegetables Dumplings
September,2025,30,,Bagel Bites with Cream Cheese,Mozzarella Breadsticks
