month,year,day of month,early release,breakfast,lunch
December,2025,1,,Cereal,Chicken and Vegetables Dumplings
December,2025,2,,Bagel Bites with Cream Cheese,Bean and Cheese Nachos
December,2025,3,,Cereal,Mozzarella Breadsticks
December,2025,4,,Vanilla Cream Filled Breadstick,"Cheese Pizza Pepperoni Pizza"
December,2025,5,,Apple Cinnamon Muffin,Chicken Tamle or Green Chile and Cheese Tamle
December,2025,8,,Cereal,Pasta with Marinara and Meatballs or Mozzarella Cheese Sandwich
December,2025,9,,Vanilla Cream Filled Breadstick,Chicken tenders
December,2025,10,true,Cereal,Turkey and Cheese Sandwich Cheese Sandwich
December,2025,11,,Apple Cinnamon Muffin,"Cheese Pizza Pepperoni Pizza"
December,2025,12,,Bagel Bites with Cream Cheese,Hamburger Cheeseburger
December,2025,15,,Cereal,Orange Chicken with Brown Rice
December,2025,16,,Bagel Bites with Cream Cheese,Mozzarella Breadsticks
December,2025,17,,Cereal,"Beef, Bean and Cheese Burrito Bean and Cheese Burrito"
December,2025,18,,Vanilla Cream Filled Breadstick,"Cheese Pizza Pepperoni Pizza"
December,2025,19,,Cereal,Chicken Fillet Sandwich
