month,year,day of month,early release,breakfast,lunch
February,2026,2,,Cereal,Cheese Tortellini with Marinara
February,2026,3,,Apple Cinnamon Muffin,Chicken tenders
February,2026,4,,Cereal,Pancakes with Chicken Sausage
February,2026,5,,Vanilla Cream Filled Breadstick,"Cheese Pizza Pepperoni Pizza"
February,2026,6,,"Bagel Bites with Cream Cheese",Grilled Cheese Sandwich with Tomato Soup
February,2026,9,,Cereal,Teriyaki Chicken or Tofu with Yakisoba Noodles
February,2026,10,,Vanilla Cream Filled Breadstick,Mozzarella Breadsticks
February,2026,11,true,Cereal,"Turkey and Cheese Sandwich Cheese Sandwich"
February,2026,12,,"Bagel Bites with Cream Cheese","Cheese Pizza Pepperoni Pizza"
February,2026,13,,Apple Cinnamon Muffin,Chicken Fillet Sandwich
February,2026,17,,Cereal,Orange Chicken with Brown Rice
February,2026,18,,Vanilla Cream Filled Breadstick,Chicken tenders
February,2026,19,,Cereal,"Cheese Pizza Pepperoni Pizza"
February,2026,20,,"Bagel Bites with Cream Cheese",Grilled Cheese Pull Apart with Tomato Soup
February,2026,23,,Cereal,Chicken and Vegetables Dumplings
February,2026,24,,Vanilla Cream Filled Breadstick,Mozzarella Breadsticks
February,2026,25,,Cereal,"Birria and Cheese Papusa Bean and Cheese Papusa"
February,2026,26,,"Bagel Bites with Cream Cheese","Cheese Pizza Pepperoni Pizza"
February,2026,27,,Apple Cinnamon Muffin,"Hamburger Cheeseburger"
