month,year,day of month,early release,breakfast,lunch
1,2026,5,,Cereal,Pasta with Marinara and Meatballs or Mozzarella
1,2026,6,,Apple Cinnamon Muffin,Chicken tenders
1,2026,7,,Cereal,Pancakes with Chicken Sausage
1,2026,8,,Vanilla Cream Filled Breadstick,"Cheese Pizza Pepperoni Pizza"
1,2026,9,,Bagel Bites with Cream Cheese,Grilled Cheese Sandwich with Tomato Soup
1,2026,12,,Cereal,Teriyaki Chicken or Tofu with Yakisoba Noodles
1,2026,13,,Vanilla Cream Filled Breadstick,Mozzarella Breadsticks
1,2026,14,true,Cereal,"Turkey and Cheese Sandwich Cheese Sandwich"
1,2026,15,,Bagel Bites with Cream Cheese,"Cheese Pizza Pepperoni Pizza"
1,2026,16,,Apple Cinnamon Muffin,Chicken Fillet Sandwich
1,2026,20,,Cereal,Orange Chicken with Brown Rice
1,2026,21,,Vanilla Cream Filled Breadstick,Chicken tenders
1,2026,22,,Cereal,"Cheese Pizza Pepperoni Pizza"
1,2026,23,,Bagel Bites with Cream Cheese,Grilled Cheese Sandwich with Tomato Soup
1,2026,28,,Cereal,"Birria and Cheese Papusa Bean and Cheese Papusa"
1,2026,29,,Apple Cinnamon Muffin,"Cheese Pizza Pepperoni Pizza"
1,2026,30,,Cereal,"Hamburger Cheeseburger"
