month,year,day of month,early release,breakfast,lunch
March,2026,3,,Cereal,Pasta with Marinara and Meatballs or Mozzarella
March,2026,4,,Vanilla Cream Filled Breadstick,Chicken tenders
March,2026,5,,Cereal,"Cheese Pizza, Pepperoni Pizza"
March,2026,6,,Bagel Bites with Cream Cheese,Grilled Cheese Sandwich
March,2026,9,,Cereal,Teriyaki Chicken or Tofu with Yakisoba Noodles
March,2026,10,,Bagel Bites with Cream Cheese,Mozzarella Breadsticks
March,2026,11,true,Cereal,"Turkey and Cheese Sandwich, Cheese Sandwich"
March,2026,12,,Vanilla Cream Filled Breadstick,"Cheese Pizza, Pepperoni Pizza"
March,2026,13,,Apple Cinnamon Muffin,Chicken Fillet Sandwich
March,2026,16,,Cereal,Orange Chicken with Brown Rice
March,2026,17,,Apple Cinnamon Muffin,Chicken tenders
March,2026,18,,Cereal,Pancakes with Chicken Sausage
March,2026,19,,Vanilla Cream Filled Breadstick,"Cheese Pizza, Pepperoni Pizza"
March,2026,20,,Bagel Bites with Cream Cheese,Grilled Cheese Pull Apart
March,2026,30,,Cereal,Pasta with Marinara and Meatballs or Mozzarella
March,2026,31,,Apple Cinnamon Muffin,Chicken tenders
