month,year,day of month,early release,breakfast,lunch
May,2026,4,,Cereal,Orange Chicken with Brown Rice
May,2026,5,,Vanilla Cream Filled Breadstick,Mozzarella Breadsticks
May,2026,6,,Cereal,"Beef, Bean and Cheese Burrito Bean and Cheese Burrito"
May,2026,7,,Bagel Bites with Cream Cheese,Cheese Pizza Pepperoni Pizza
May,2026,8,,Apple Cinnamon Muffin,Chicken Fillet Sandwich
May,2026,11,,Cereal,Teriyaki Chicken or Tofu with Brown Rice
May,2026,12,,Apple Cinnamon Muffin,Chicken tenders
May,2026,13,,Cereal,Pancakes with Chicken Sausage
May,2026,14,,Vanilla Cream Filled Breadstick,Cheese Pizza Pepperoni Pizza
May,2026,15,,Bagel Bites with Cream Cheese,Hamburger Cheeseburger
May,2026,18,,Cereal,Orange Chicken with Brown Rice
May,2026,19,,Vanilla Cream Filled Breadstick,Mozzarella Breadsticks
May,2026,20,,Cereal,Bean and Cheese Nachos
May,2026,21,,Bagel Bites with Cream Cheese,Cheese Pizza Pepperoni Pizza
May,2026,22,,Apple Cinnamon Muffin,Chicken Fillet Sandwich
May,2026,26,,Cereal,Pasta with Marinara and Meatballs or Mozzarella
May,2026,27,,Vanilla Cream Filled Breadstick,Chicken tenders
May,2026,28,,Cereal,Cheese Pizza Pepperoni Pizza
May,2026,29,,Bagel Bites with Cream Cheese,Hamburger Cheeseburger
