month,year,day of month,early release,breakfast,lunch
November,2025,3,,Cereal,Pasta with Marinara and Meatballs or Mozzarella
November,2025,4,,Vanilla Cream Filled Breadstick,Chicken tenders
November,2025,5,,Cereal,Pancakes with Chicken Sausage
November,2025,6,,Apple Cinnamon Muffin,Cheese Pizza Pepperoni Pizza
November,2025,7,,Bagel Bites with Cream Cheese,Cheeseburger
November,2025,10,,Cereal,Orange Chicken with Brown Rice
November,2025,12,,Cereal,Beef Bean and Cheese Burrito Bean and Cheese Burrito
November,2025,13,,Vanilla Cream Filled Breadstick,Cheese Pizza Pepperoni Pizza
November,2025,14,,Apple Cinnamon Muffin,Chicken Fillet Sandwich
November,2025,17,,Cereal,Teriyaki Chicken or Tofu with Brown Rice
November,2025,18,,Vanilla Cream Filled Breadstick,Mozzarella Breadsticks
November,2025,19,,Cereal,Pancakes with Chicken Sausage
November,2025,20,,Apple Cinnamon Muffin,Cheese Pizza Pepperoni Pizza
November,2025,21,,Bagel Bites with Cream Cheese,Turkey Chili with Cheese and Tortilla Chips
