month,year,day of month,early release,breakfast,lunch
September,2024,30,,"Breakfast Bread","Cheesy Baked Potatoes with Chili"
October,2024,1,,"Cereal","Mozzarella Breadsticks"
October,2024,2,,"Breakfast Bread","Beef, Bean and Cheese Burrito"
October,2024,3,,"Blueberry Muffin","Cheese Pizza"
October,2024,4,,"Breakfast Bread","Chicken Fillet Sandwich"
October,2024,7,,"Cereal","Teriyaki Chicken with Brown Rice"
October,2024,8,,"Breakfast Bread","Chicken Tenders"
October,2024,9,,"Cereal","Philly Cheesesteak Sandwich"
October,2024,10,,"Bagel Sticks with Cream Cheese","Cheese Pizza"
October,2024,14,,"Banana Bread","Pasta with Marinara and Mozzarella"
October,2024,15,,"Cereal","Chicken Tenders"
October,2024,16,,"Breakfast Bread","Bean and Cheese Nachos"
October,2024,17,,"Honey Cheerios Cereal","Cheese Pizza"
October,2024,18,,"Blueberry Pomegranate Breakfast Bar","Carmen Ranch Grassfed Beef Burger with Cheese"
October,2024,21,,"Cereal","Orange Chicken with Brown Rice"
October,2024,22,,"Breakfast Bread","Mozzarella Breadsticks"
October,2024,23,true,"Cereal","Turkey Ham Sandwich"
October,2024,24,,"Bagel Sticks with Cream Cheese","Cheese Pizza"
October,2024,25,,"Cinnamon Crumble Bread","Chicken Fillet Sandwich"
October,2024,28,,"Cereal","Turkey Hot Dog"
October,2024,29,,"Breakfast Bread","Beef, Bean and Cheese Burrito"
October,2024,30,,"Cereal","Chicken Tenders"
October,2024,31,,"Breakfast Bread","Cheese Pizza"
