month,year,day of month,early release,breakfast,lunch
October,2025,1,,Cereal,Bean and Cheese Nachos
October,2025,2,,Vanilla Cream Filled Breadstick,Cheese Pizza Pepperoni Pizza
October,2025,3,,Apple Cinnamon Muffin,BBQ Pork Sandwich
October,2025,6,,Cereal,Pasta with Marinara and Meatballs or Mozzarella
October,2025,7,,Vanilla Cream Filled Breadstick,Chicken tenders
October,2025,8,,Cereal,Pancakes with Chicken Sausage
October,2025,9,,Apple Cinnamon Muffin,Cheese Pizza Pepperoni Pizza
October,2025,13,,Cereal,Orange Chicken with Brown Rice
October,2025,14,,Bagel Bites with Cream Cheese,Mozzarella Breadsticks
October,2025,15,,Cereal,Beef Bean and Cheese Burrito Bean and Cheese Burrito
October,2025,16,,Vanilla Cream Filled Breadstick,Cheese Pizza Pepperoni Pizza
October,2025,17,,Apple Cinnamon Muffin,Chicken Fillet Sandwich
October,2025,20,,Cereal,Yakisoba Noodles with Teriyaki Tofu
October,2025,21,,Vanilla Cream Filled Breadstick,Chicken tenders
October,2025,22,true,Cereal,Turkey and Cheese Sandwich Cheese Sandwich
October,2025,23,,Apple Cinnamon Muffin,Cheese Pizza Pepperoni Pizza
October,2025,24,,Bagel Bites with Cream Cheese,Cheeseburger
October,2025,27,,Cereal,Chicken and Vegetables Dumplings
October,2025,28,,Apple Cinnamon Muffin,Mozzarella Breadsticks
October,2025,29,,Cereal,Bean and Cheese Nachos
