month,year,day_of_month,early_release,meal
December,2024,2,"","Three Bean Chili with Tortilla Chips"
December,2024,3,"","Cheeseburger"
December,2024,4,"","Bean and Cheese Burrito"
December,2024,5,"","Cheese Pizza"
December,2024,6,"","Chicken Tenders"
December,2024,10,"","Orange Chicken with Brown Rice"
December,2024,11,"","Mozzarella Breadsticks"
December,2024,12,"","Pancakes and Chicken Sausage"
December,2024,16,"","Cheeseburger"
December,2024,17,"","Pasta with Marinara and Mozzarella"
December,2024,18,"true","Turkey Ham Sandwich, Cheese Sandwich"
December,2024,19,"","Cheese Pizza"
December,2024,20,"","Chicken Tenders"
