month,year,day,early_release,meal
April,2025,1,,Turkey Hot Dog
April,2025,2,,Mozzarella Breadsticks
April,2025,3,,Cheese Pizza
April,2025,8,,Mozzarella Breadsticks
April,2025,9,,Bean and Cheese Nachos
April,2025,10,,Cheese Pizza
April,2025,11,,Chicken Fillet Sandwich
April,2025,14,,Orange Chicken with Brown Rice
April,2025,15,,Turkey Hot Dog
April,2025,16,,Pancake and Chicken Sausage
April,2025,17,,Cheese Pizza
April,2025,21,,Mozzarella Breadsticks
April,2025,22,,Sweet Garlic Crispy Tofu with Brown Rice
April,2025,23,true,Turkey Sandwich, Cheese Sandwich
April,2025,24,,Cheese Pizza
April,2025,25,,Chicken Dumplings
April,2025,28,,Teriyaki Chicken with Brown Rice
April,2025,29,,Chicken Tenders
April,2025,30,,Philly Cheesesteak Sandwich
