month,year,day,early release,meal
September,2026,3,,Vanilla Cream Filled Breadstick, Cheese Pizza, Fruit and Cheese
September,2026,4,,Apple Cinnamon Muffin, Chicken Sandwich, Vegetables and Crackers
September,2026,8,,Cheerios Cereal, Chicken Tenders, Cheese and Crackers
September,2026,9,,Yogurt and Granola, Chicken Sausage with a Pancake, Fruit or Vegetables with Crackers
September,2026,10,,Cheerios Cereal, Cheese Pizza, Yogurt and Granola
September,2026,11,,Cream Cheese Filled Bagel Bites, Hamburger, Fruit or Vegetables with Crackers
September,2026,14,,Cheerios Cereal, Orange Chicken with Brown Rice, Fruit and Crackers
September,2026,15,,Yogurt and Granola, Bean and Cheese Nachos, Fruit or Vegetables with Crackers
September,2026,16,true,Cheerios Cereal, Cheesy Garlic Twists
September,2026,17,,Vanilla Cream Filled Breadstick, Cheese Pizza, Yogurt and Granola
September,2026,18,,Apple Cinnamon Muffin, Chicken Sandwich, Fruit or Vegetables with Crackers
September,2026,21,,Cheerios Cereal, Chicken Dumplings, Cheese and Crackers
September,2026,22,,Yogurt and Granola, Chicken Tenders, Fruit or Vegetables with Crackers
September,2026,23,,Cheerios Cereal, Chicken Sausage with a Pancake, Fruit or Vegetables with Cheese
September,2026,24,,Vanilla Cream Filled Breadstick, Cheese Pizza, Yogurt and Granola
September,2026,28,,Cheerios Cereal, Oven Fried Rice with Tofu, Fruit and Crackers
September,2026,29,,Yogurt and Granola, Cheesy Garlic Twists, Fruit or Vegetables with Crackers
September,2026,30,,Cheerios Cereal, Bean and Cheese Burrito, Fruit or Vegetables with Cheese
