month,year,day of month,early release,meal
September,2025,4,,Cheese Pizza
September,2025,5,,Hamburger
September,2025,8,,Pasta with Marinara and Mozzarella
September,2025,9,,Chicken Tenders
September,2025,10,,Pancakes and Chicken Sausage
September,2025,11,,Cheese Pizza
September,2025,12,,Hamburger
September,2025,16,,Orange Chicken with Brown Rice
September,2025,17,true,Turkey and Cheese Sandwich
September,2025,18,,Cheese Pizza
September,2025,22,,Teriyaki Chicken with Brown Rice
September,2025,23,,Chicken Tenders
September,2025,24,,Pancakes and Chicken Sausage
September,2025,25,,Cheese Pizza
September,2025,26,,Hamburger
September,2025,29,,Chicken and Vegetable Dumplings
September,2025,30,,Mozzarella Breadsticks
