month,year,day of month,early release,meal
December,2025,1,,Chicken and Vegetable Dumplings
December,2025,2,,Bean and Cheese Nachos
December,2025,3,,Mozzarella Breadsticks
December,2025,4,,Cheese Pizza
December,2025,5,,Green Chile and Cheese Tamale
December,2025,9,,Pasta with Marinara and Mozzarella
December,2025,10,true,"Chicken Tenders, Turkey and Cheese Sandwich, Cheese Sandwich"
December,2025,11,,Cheese Pizza
December,2025,15,,Orange Chicken with Brown Rice
December,2025,16,,Mozzarella Breadsticks
December,2025,17,,Bean and Cheese Burrito
December,2025,18,,Cheese Pizza
December,2025,19,,Chicken Fillet Sandwich
