month,year,day,early release,meal
February,2025,3,,"Japanese Curry with Chicken and Brown Rice"
February,2025,4,,"Mozzarella Breadsticks"
February,2025,5,,"Pasta with Marinara and Mozzarella"
February,2025,6,,"Cheese Pizza"
February,2025,7,,"Chicken Fillet Sandwich"
February,2025,10,,"Yakisoba with Chicken"
February,2025,11,,"Chicken Tenders"
February,2025,12,,"Pancakes and Chicken Sausage"
February,2025,13,,"Cheese Pizza"
February,2025,18,,"Orange Chicken with Brown Rice"
February,2025,19,,"Mozzarella Breadsticks"
February,2025,20,,"Cheese Pizza"
February,2025,24,,"Chicken Dumplings"
February,2025,25,,"Chicken Tenders"
February,2025,26,true,"Turkey Sandwich, Cheese Sandwich"
February,2025,27,,"Cheese Pizza"
February,2025,28,,"Ethiopian Simmer Sauce with Chicken and Brown Rice"
