month,year,day of month,early release,meal
February,2026,2,,Cheese Tortellini with Marinara
February,2026,3,,Chicken Tenders
February,2026,4,,Pancakes and Chicken Sausage
February,2026,5,,Cheese Pizza
February,2026,6,,Grilled Cheese Sandwich
February,2026,10,,Yakisoba Noodles with Teriyaki Chicken
February,2026,11,true,Mozzarella Breadsticks
February,2026,12,,"Turkey and Cheese Sandwich, Cheese Sandwich"
February,2026,17,,Orange Chicken with Brown Rice
February,2026,18,,Chicken Tenders
February,2026,19,,Cheese Pizza
February,2026,20,,Grilled Cheese Pull Apart
February,2026,24,,Chicken and Vegetable Dumplings
February,2026,25,,Mozzarella Breadsticks
February,2026,26,,Bean and Cheese Papusa
