month,year,day_of_month,early_release,meal
January,2025,6,,Chicken Tenders
January,2025,7,,Bean and Cheese Burrito
January,2025,8,,Mozzarella Breadsticks
January,2025,9,,Cheese Pizza
January,2025,10,,Cheeseburger
January,2025,13,,Yakisoba with Chicken
January,2025,14,,Chicken Tenders
January,2025,15,,"Pancakes and Chicken Sausage"
January,2025,16,,Cheese Pizza
January,2025,22,,Mozzarella Breadsticks
January,2025,23,,"Orange Chicken with Brown Rice"
January,2025,24,,"Grilled Cheese Sandwich"
January,2025,29,,Chicken Dumplings
January,2025,30,,Cheese Pizza
January,2025,31,,"Teriyaki Chicken with Brown Rice"
