month,year,day of month,early release,meal
January,2026,5,,"Honey Cheerios Cereal, Pasta with Marinara and Mozzarella, Cheese and Crackers"
January,2026,6,,"Yogurt and Granola, Chicken Tenders, Fruit and Crackers"
January,2026,7,,"Honey Cheerios Cereal, Pancakes and Chicken Sausage, Yogurt and Granola"
January,2026,8,,"Vanilla Cream Filled Breadstick, Cheese Pizza, Fruit and Cheese"
January,2026,9,,"Bagel Bites with Cream Cheese, Grilled Cheese Sandwich, Vegetables and Crackers"
January,2026,12,,"Honey Cheerios Cereal, Yakisoba Noodles with Teriyaki Chicken, Fruit and Crackers"
January,2026,13,,"Yogurt and Granola, Mozzarella Breadsticks, Cheese and Crackers"
January,2026,14,,"Blueberry Chex Cereal, Turkey and Cheese Sandwich, Yogurt and Granola"
January,2026,15,,"Yogurt and Granola, Cheese Pizza, Vegetables and Cheese"
January,2026,20,,"Yogurt and Granola, Orange Chicken with Brown Rice, Fruit and Crackers"
January,2026,21,,"Vanilla Cream Filled Breadstick, Chicken Tenders, Yogurt and Granola"
January,2026,22,,"Honey Cheerios Cereal, Cheese Pizza, Fruit and Cheese"
January,2026,23,,"Bagel Bites with Cream Cheese, Grilled Cheese Sandwich, Vegetables and Crackers"
January,2026,28,,"Honey Cheerios Cereal, Bean and Cheese Papusa, Yogurt and Granola"
January,2026,29,,"Yogurt and Granola, Cheese Pizza, Vegetables and Cheese"
January,2026,30,,"Blueberry Chex Cereal, Hamburger, Fruit and Crackers"
