month,year,day_of_month,early_release,meal
March,2025,4,,"Pasta with Marinara and Mozzarella"
March,2025,5,,"Chicken Tenders"
March,2025,6,,"Cheese Pizza"
March,2025,7,,"Hamburger"
March,2025,10,,"Yakisoba with Chicken"
March,2025,11,,"Mozzarella Breadsticks"
March,2025,12,,"Pancake and Chicken Sausage"
March,2025,13,,"Cheese Pizza"
March,2025,17,,"Orange Chicken with Brown Rice"
March,2025,18,,"Turkey Hot Dog"
March,2025,19,true,"Turkey Ham Sandwich, Cheese Sandwich"
March,2025,20,,"Cheese Pizza"
March,2025,21,,"Chicken Tenders"
March,2025,31,,"Chicken Tenders"
