month,year,day of month,early release,meal
May,2025,1,,Cheese Pizza
May,2025,2,,Bean and Cheese Burrito
May,2025,6,,Mozzarella Breadsticks
May,2025,7,,Pancake and Chicken Sausage
May,2025,8,,Cheese Pizza
May,2025,13,,Bean and Cheese Nachos
May,2025,14,,Turkey Hot Dog
May,2025,15,,Cheese Pizza
May,2025,20,,Chicken Tenders
May,2025,21,true,"Turkey Ham Sandwich, Cheese Sandwich"
May,2025,22,,Cheese Pizza
May,2025,27,,Mozzarella Breadsticks
May,2025,28,,Teriyaki Chicken with Brown Rice
May,2025,29,,Cheese Pizza
May,2025,30,,Bean and Cheese Burrito
