month,year,day of month,early release,meal
May,2026,4,,Orange Chicken with Brown Rice
May,2026,5,,Mozzarella Breadsticks
May,2026,6,,Bean and Cheese Burrito
May,2026,7,,Cheese Pizza
May,2026,11,,Teriyaki Chicken with Brown Rice
May,2026,12,,Chicken Tenders
May,2026,13,,Pancakes and Chicken Sausage
May,2026,14,,Cheese Pizza
May,2026,18,,Orange Chicken with Brown Rice
May,2026,19,,Mozzarella Breadsticks
May,2026,20,,Bean and Cheese Nachos
May,2026,21,,Cheese Pizza
May,2026,26,,Pasta with Marinara and Mozzarella
May,2026,27,,Chicken Tenders
May,2026,28,,Cheese Pizza
May,2026,29,,Hamburger
