month,year,day_of_month,early_release,meal
November,2024,4,,"Yogurt and Granola"
November,2024,5,,"Mozzarella Breadsticks"
November,2024,6,,"Teriyaki Chicken with Brown Rice"
November,2024,7,,"Cheese Pizza"
November,2024,8,,"Chicken Fillet Sandwich"
November,2024,12,,"Pasta with Marinara and Mozzarella"
November,2024,13,,"Bean and Cheese Nachos"
November,2024,14,,"Cheese Pizza"
November,2024,18,,"Teriyaki Chicken with Brown Rice"
November,2024,19,,"Mozzarella Breadsticks"
November,2024,20,true,"Cheese Sandwich"
November,2024,21,,"Cheese Pizza"
November,2024,22,,"Roast Turkey and Gravy"
