month,year,day of month,early release,meal
November,2025,3,,Cinnamon Chex Cereal
November,2025,3,,Pasta with Marinara and Mozzarella
November,2025,3,,Cheese and Crackers
November,2025,4,,Yogurt and Granola
November,2025,4,,Chicken Tenders
November,2025,4,,Fruit and Crackers
November,2025,5,,Honey Cheerios Cereal
November,2025,5,,Pancakes and Chicken Sausage
November,2025,5,,Yogurt and Granola
November,2025,6,,Yogurt and Granola
November,2025,6,,Cheese Pizza
November,2025,6,,Fruit Cup and Cheese
November,2025,7,,Bagel Bites with Cream Cheese
November,2025,7,,Hamburger
November,2025,7,,Vegetables and Crackers
November,2025,10,,Yogurt and Granola
November,2025,10,,Orange Chicken with Brown Rice
November,2025,10,,Fruit and Crackers
November,2025,12,,Cinnamon Chex Cereal
November,2025,12,,Bean and Cheese Burrito
November,2025,12,,Yogurt and Granola
November,2025,13,,Vanilla Cream Filled Breadstick
November,2025,13,,Cheese Pizza
November,2025,13,,Vegetables and Cheese
November,2025,17,,Apple Cinnamon Muffin
November,2025,17,,Teriyaki Chicken with Brown Rice
November,2025,17,,Cheese and Crackers
November,2025,18,,Yogurt and Granola
November,2025,18,,Mozzarella Breadsticks
November,2025,18,,Fruit and Crackers
November,2025,19,,Honey Cheerios Cereal
November,2025,19,,Pancakes and Chicken Sausage
November,2025,19,,Yogurt and Granola
November,2025,20,,Yogurt and Granola
November,2025,20,,Cheese Pizza
November,2025,20,,Fruit Cup and Cheese
November,2025,21,,Bagel Bites with Cream Cheese
November,2025,21,,Turkey Chili with Cheese and Tortilla Chips
November,2025,21,,Vegetables and Crackers
