month,year,day of month,early release,meal
October,2025,1,,Bean and Cheese Nachos
October,2025,2,,Cheese Pizza
October,2025,3,,BBQ Pork Sandwich
October,2025,6,,Pasta with Marinara and Mozzarella
October,2025,7,,Chicken Tenders
October,2025,8,,Pancakes and Chicken Sausage
October,2025,9,,Cheese Pizza
October,2025,13,,Orange Chicken with Brown Rice
October,2025,14,,Mozzarella Breadsticks
October,2025,15,,Bean and Cheese Burrito
October,2025,16,,Cheese Pizza
October,2025,20,,Yakisoba Noodles with Teriyaki Tofu
October,2025,21,,Chicken Tenders
October,2025,22,true,"Turkey and Cheese Sandwich, Cheese Sandwich"
October,2025,23,,Cheese Pizza
October,2025,24,,Hamburger
October,2025,29,,Bean and Cheese Nachos
