month,year,day of month,early release,breakfast,lunch,snack
April,2025,1,,Blueberry Chex Cereal,Turkey Hot Dog,Fruit and Chex Mix
April,2025,2,,Bagel Sticks with Cream Cheese,Mozzarella Breadsticks,Yogurt and Granola
April,2025,3,,Egg Cheese and Turkey Sausage Calzone,Cheese Pizza,Fruit Cup and Cheese
April,2025,8,,Blueberry Chex Cereal,Mozzarella Breadsticks,Fruit and Crackers
April,2025,9,,Honey Cheerios Cereal,Bean and Cheese Nachos,Yogurt and Granola
April,2025,10,,Cinnamon Crumble,Cheese Pizza,Cheese and Vegetables
April,2025,11,,Bagel Sticks with Cream Cheese,Chicken Fillet Sandwich,Fruit Cup and Crackers
April,2025,14,,Chicken Sausage Biscuit Sandwich,Orange Chicken with Brown Rice,Cheese and Crackers
April,2025,15,,Maple Waffles,Turkey Hot Dog,Fruit and Chex Mix
April,2025,16,,French Toast Sticks,Pancake and Chicken Sausage,Yogurt and Granola
April,2025,17,,Sunrise Muffin,Cheese Pizza,Fruit Cup and Cheese
April,2025,21,,Mini Pancakes,Mozzarella Breadsticks,Fruit and Chex Mix
April,2025,22,,Scrambled Eggs,Sweet Garlic Crispy Tofu with Brown Rice,Fruit and Crackers
April,2025,23,true,Chicken and Waffle Sandwich,"Turkey Sandwich, Cheese Sandwich",Yogurt and Granola
April,2025,24,,Cinnamon Crumble,Cheese Pizza,Cheese and Vegetables 
April,2025,25,,Honey Cheerios Cereal,Chicken Dumplings,Fruit Cup and Crackers
April,2025,28,,Chicken Sausage Biscuit Sandwich,Teriyaki Chicken with Brown Rice,Cheese and Crackers
April,2025,29,,Maple Waffles,Chicken Tenders,Fruit and Chex Mix
April,2025,30,,Honey Cheerios Cereal,Philly Cheesesteak Sandwich,Yogurt and Granola
