month,year,day of month,early release,breakfast,lunch,snack
April,2026,1,,Vanilla Cream Filled Breadstick,Pancakes and Chicken Sausage,Yogurt and Granola
April,2026,2,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit and Cheese
April,2026,7,,Chicken and Waffle Sandwich,Mozzarella Breadsticks,Fruit and Crackers
April,2026,8,,Cheerios Cereal,Bean and Cheese Burrito,Yogurt and Granola
April,2026,9,,Apple Cinnamon Muffin,Cheese Pizza,Vegetables and Cheese
April,2026,10,,Mini Pancakes,Chicken Sandwich,Fruit and Crackers
April,2026,13,,Ham and Cheese Croissant,Teriyaki Chicken with Brown Rice,Cheese and Crackers
April,2026,14,,Cheerios Cereal,Chicken Tenders,Fruit and Crackers
April,2026,15,,Vanilla Cream Filled Breadstick,Pancakes and Chicken Sausage,Yogurt and Granola
April,2026,16,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit and Cheese
April,2026,17,,French Toast Sticks,Hamburger,Vegetables and Crackers
April,2026,20,,Chicken and Waffle Sandwich,Grilled Cheese Pull Apart,Fruit and Crackers
April,2026,21,,Cheerios Cereal,Mozzarella Breadsticks,Fruit and Crackers
April,2026,22,,Maple Waffles,Bean and Cheese Nachos,Yogurt and Granola
April,2026,23,,Apple Cinnamon Muffin,Cheese Pizza,Vegetables and Cheese
April,2026,27,,Ham and Cheese Croissant,Pasta with Marinara and Mozzarella,Cheese and Crackers
April,2026,28,,Cheerios Cereal,Chicken Tenders,Fruit and Crackers
April,2026,29,,Vanilla Cream Filled Breadstick,Pancakes and Chicken Sausage,Yogurt and Granola
April,2026,30,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit and Cheese
