month,year,day of month,early release,breakfast,lunch,snack
September,2025,4,,"Sunrise Muffin","Cheese Pizza","Fruit Cup and Cheese"
September,2025,5,,"Mini Pancakes",Hamburger,"Vegetables and Crackers"
September,2025,8,,"Chicken Sausage Biscuit Sandwich","Pasta with Marinara and Mozzarella","Fruit and Chex Mix"
September,2025,9,,"Honey Cheerios Cereal","Chicken Tenders","Cheese and Vegetables"
September,2025,10,,"Maple Waffles","Pancakes and Chicken Sausage","Yogurt and Granola"
September,2025,11,,"Bagel Bites with Cream Cheese","Cheese Pizza","Cheese and Crackers"
September,2025,12,,"French Toast Sticks",Hamburger,"Fruit Cup and Crackers"
September,2025,16,,"Cinnamon Chex Cereal","Mozzarella Breadsticks","Fruit and Crackers"
September,2025,17,true,"Vanilla Cream Filled Breadstick","Turkey and Cheese Sandwich Cheese Sandwich","Yogurt and Granola"
September,2025,18,,"Apple Cinnamon Muffin","Cheese Pizza","Fruit Cup and Cheese"
September,2025,22,,"Ham and Cheese Croissant","Teriyaki Chicken with Brown Rice","Fruit and Chex Mix"
September,2025,23,,"Honey Cheerios Cereal","Chicken Tenders","Cheese and Vegetables"
September,2025,24,,"Maple Waffles","Pancakes and Chicken Sausage","Yogurt and Granola"
September,2025,25,,"Bagel Bites with Cream Cheese","Cheese Pizza","Cheese and Crackers"
September,2025,26,,"French Toast Sticks",Hamburger,"Fruit Cup and Crackers"
September,2025,29,,"Chicken and Waffle Sandwich","Chicken and Vegetable Dumplings","Cheese and Crackers"
September,2025,30,,"Cinnamon Chex Cereal","Mozzarella Breadsticks","Fruit and Crackers"
