month,year,day_of_month,early_release,breakfast,lunch,snack
December,2024,2,,Cinnamon Chex Cereal,Three Bean Chili with Tortilla Chips,Fruit and Crackers
December,2024,3,,Blueberry Chex Cereal,Cheeseburger,Fruit and Crackers
December,2024,4,,French Toast Sticks,Bean and Cheese Burrito,Yogurt and Granola
December,2024,5,,Cinnamon Crumble Bread,Cheese Pizza,Cheese and Vegetables
December,2024,6,,Egg and Cheese Filled Hashbrown,Chicken Tenders,Fruit and Crackers
December,2024,10,,Maple Waffles,Mozzarella Breadsticks,Fruit and Chex Mix
December,2024,11,,Bagel Sticks with Cream Cheese,Pancakes and Chicken Sausage,Yogurt and Granola
December,2024,12,,Banana Bread,Cheese Pizza,Fruit Cup and Cheese
December,2024,16,,Chicken and Waffle Sandwich,Cheeseburger,Fruit and Crackers
December,2024,17,,Mini Pancakes,Pasta with Marinara and Mozzarella,Fruit and Crackers
December,2024,18,true,Lemon Bread,Turkey Ham Sandwich Cheese Sandwich,Yogurt and Granola
December,2024,19,,Blueberry Chex Cereal,Cheese Pizza,Cheese and Vegetables
December,2024,20,,Honey Cheerios Cereal,Chicken Tenders,Fruit Cup and Crackers
