month,year,day of month,early release,breakfast,lunch,snack
January,2026,5,,Ham and Cheese Croissant,Pasta with Marinara and Mozzarella,Cheese and Crackers
January,2026,6,,Honey Cheerios Cereal,Chicken Tenders,Fruit and Crackers
January,2026,7,,Vanilla Cream Filled Breadstick,Pancakes and Chicken Sausage,Yogurt and Granola
January,2026,8,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit and Cheese
January,2026,9,,French Toast Sticks,Grilled Cheese Sandwich,Vegetables and Crackers
January,2026,12,,Chicken and Waffle Sandwich,Yakisoba Noodles with Teriyaki Chicken,Fruit and Crackers
January,2026,13,,Blueberry Chex Cereal,Mozzarella Breadsticks,Cheese and Crackers
January,2026,14,,Maple Waffles,"Turkey and Cheese Sandwich, Cheese Sandwich",Yogurt and Granola
January,2026,15,,Apple Cinnamon Muffin,Cheese Pizza,Vegetables and Cheese
January,2026,20,,Vanilla Cream Filled Breadstick,Orange Chicken with Brown Rice,Fruit and Crackers
January,2026,21,,Honey Cheerios Cereal,Chicken Tenders,Yogurt and Granola
January,2026,22,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit and Cheese
January,2026,23,,French Toast Sticks,Grilled Cheese Sandwich,Vegetables and Crackers
January,2026,28,,Maple Waffles,Bean and Cheese Papusa,Yogurt and Granola
January,2026,29,,Blueberry Chex Cereal,Cheese Pizza,Vegetables and Cheese
January,2026,30,,Mini Pancakes,Hamburger,Fruit and Crackers
