month,year,day of month,early release,breakfast,lunch,snack
March,2026,3,,Vanilla Cream Filled Breadstick,Pasta with Marinara and Mozzarella,Fruit and Crackers
March,2026,4,,Honey Cheerios Cereal,Chicken Tenders,Yogurt and Granola
March,2026,5,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit and Cheese
March,2026,6,,French Toast Sticks,Grilled Cheese Sandwich,Vegetables and Crackers
March,2026,9,,Chicken and Waffle Sandwich,Yakisoba Noodles with Teriyaki Chicken,Fruit and Crackers
March,2026,10,,Blueberry Chex Cereal,Mozzarella Breadsticks,Fruit and Crackers
March,2026,11,true,Maple Waffles,"Turkey and Cheese Sandwich Cheese Sandwich",Vegetables and Cheese
March,2026,12,,Apple Cinnamon Muffin,Cheese Pizza,Vegetables and Cheese
March,2026,16,,Ham and Cheese Croissant,Orange Chicken with Brown Rice,Cheese and Crackers
March,2026,17,,Honey Cheerios Cereal,Chicken Tenders,Fruit and Crackers
March,2026,18,,Vanilla Cream Filled Breadstick,Pancakes and Chicken Sausage,Yogurt and Granola
March,2026,19,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit and Cheese
March,2026,20,,French Toast Sticks,Grilled Cheese Pull Apart,Vegetables and Crackers
March,2026,30,,Ham and Cheese Croissant,Pasta with Marinara and Mozzarella,Fruit and Crackers
March,2026,31,,Honey Cheerios Cereal,Chicken Tenders,Fruit and Crackers
