month,year,day of month,early release,breakfast,lunch,snack
May,2026,5,,Cheerios Cereal,Orange Chicken with Brown Rice,Fruit and Crackers
May,2026,6,,Liege Waffle,Mozzarella Breadsticks,Fruit and Crackers
May,2026,7,,Apple Cinnamon Muffin,Bean and Cheese Burrito,Yogurt and Granola
May,2026,8,,Cheerios Cereal,Cheese Pizza,Vegetables and Cheese
May,2026,11,,Ham and Cheese Croissant,Orange Chicken with Brown Rice,Fruit and Crackers
May,2026,12,,Cheerios Cereal,Teriyaki Chicken with Brown Rice,Cheese and Crackers
May,2026,13,,Vanilla Cream Filled Breadstick,Mozzarella Breadsticks,Fruit and Crackers
May,2026,14,,Bagel Bites with Cream Cheese,Chicken Tenders,Fruit and Cheese
May,2026,19,,Chicken and Waffle Sandwich,Orange Chicken with Brown Rice,Fruit and Crackers
May,2026,20,,Cheerios Cereal,Mozzarella Breadsticks,Fruit and Crackers
May,2026,21,,Liege Waffle,Bean and Cheese Nachos,Vegetables and Cheese
May,2026,26,,Ham and Cheese Croissant,Pasta with Marinara and Mozzarella,Fruit and Crackers
May,2026,27,,Cheerios Cereal,Chicken Tenders,Fruit and Cheese
May,2026,28,,Bagel Bites with Cream Cheese,Cheese Pizza,Yogurt and Granola
May,2026,29,,French Toast Sticks,Hamburger,Vegetables and Crackers
