month,year,day of month,early release,breakfast,lunch,snack
November,2024,4,,"Cereal","Yogurt and Granola","Cheese and Crackers"
November,2024,5,,"Maple Waffles","Mozzarella Breadsticks","Fruit and Chex Mix"
November,2024,6,,"Bagel Sticks with Cream Cheese","Teriyaki Chicken with Brown Rice","Fruit and Crackers"
November,2024,7,,"Lemon Bread","Cheese Pizza","Yogurt and Granola"
November,2024,8,,"French Toast Sticks","Chicken Fillet Sandwich","Vegetables and Chex Mix"
November,2024,12,,"Mini Pancakes","Pasta with Marinara and Mozzarella","Fruit and Crackers"
November,2024,13,,"Blueberry Chex Cereal","Bean and Cheese Nachos","Yogurt and Granola"
November,2024,14,,"Banana Bread","Cheese Pizza","Cheese and Vegetables"
November,2024,18,,"Chicken Sausage Biscuit Sandwich","Teriyaki Chicken with Brown Rice","Cheese and Crackers"
November,2024,19,,"Maple Waffles","Mozzarella Breadsticks","Fruit and Chex Mix"
November,2024,20,true,"Bagel Sticks with Cream Cheese","Cheese Sandwich","Fruit and Crackers"
November,2024,21,,"Pumpkin Bread","Cheese Pizza","Yogurt and Granola"
November,2024,22,,"French Toast Sticks","Roast Turkey and Gravy","Vegetables and Chex Mix"
