month,year,day of month,early release,breakfast,lunch,snack
November,2025,3,,Ham and Cheese Croissant,Pasta with Marinara and Mozzarella,Cheese and Crackers
November,2025,4,,Honey Cheerios Cereal,Chicken Tenders,Fruit and Crackers
November,2025,5,,Maple Waffles,Pancakes and Chicken Sausage,Yogurt and Granola
November,2025,6,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit Cup and Cheese
November,2025,7,,French Toast Sticks,Hamburger,Vegetables and Crackers
November,2025,10,,Chicken and Waffle Sandwich,Orange Chicken with Brown Rice,Fruit and Crackers
November,2025,12,,Vanilla Cream Filled Breadstick,Bean and Cheese Burrito,Yogurt and Granola
November,2025,13,,Apple Cinnamon Muffin,Cheese Pizza,Vegetables and Cheese
November,2025,17,,Ham and Cheese Croissant,Teriyaki Chicken with Brown Rice,Cheese and Crackers
November,2025,18,,Honey Cheerios Cereal,Mozzarella Breadsticks,Fruit and Crackers
November,2025,19,,Maple Waffles,Pancakes and Chicken Sausage,Yogurt and Granola
November,2025,20,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit Cup and Cheese
November,2025,21,,French Toast Sticks,Turkey Chili with Cheese and Tortilla Chips,Vegetables and Crackers
